EPSG,ESRI,Oracle
,D_NAD_1983_HARN_Adj_MN_Carlton,
,D_NAD_1983_HARN_Adj_MN_Carver,
,D_NAD_1983_HARN_Adj_MN_Cass_North,
,D_NAD_1983_HARN_Adj_MN_Cass_South,
,D_NAD_1983_HARN_Adj_MN_Chippewa,
,D_NAD_1983_HARN_Adj_MN_Chisago,
,D_NAD_1983_HARN_Adj_MN_Cook_North,
,D_NAD_1983_HARN_Adj_MN_Cook_South,
,D_NAD_1983_HARN_Adj_MN_Cottonwood,
,D_NAD_1983_HARN_Adj_MN_Crow_Wing,
,D_NAD_1983_HARN_Adj_MN_Dakota,
,D_NAD_1983_HARN_Adj_MN_Dodge,
,D_NAD_1983_HARN_Adj_MN_Douglas,
,D_NAD_1983_HARN_Adj_MN_Faribault,
,D_NAD_1983_HARN_Adj_MN_Fillmore,
,D_NAD_1983_HARN_Adj_MN_Freeborn,
,D_NAD_1983_HARN_Adj_MN_Goodhue,
,D_NAD_1983_HARN_Adj_MN_Grant,
,D_NAD_1983_HARN_Adj_MN_Hennepin,
,D_NAD_1983_HARN_Adj_MN_Houston,
,D_NAD_1983_HARN_Adj_MN_Isanti,
,D_NAD_1983_HARN_Adj_MN_Itasca_North,
,D_NAD_1983_HARN_Adj_MN_Itasca_South,
,D_NAD_1983_HARN_Adj_MN_Jackson,
,D_NAD_1983_HARN_Adj_MN_Kanabec,
,D_NAD_1983_HARN_Adj_MN_Kandiyohi,
,D_NAD_1983_HARN_Adj_MN_Kittson,
,D_NAD_1983_HARN_Adj_MN_Koochiching,
,D_NAD_1983_HARN_Adj_MN_Lac_Qui_Parle,
,D_NAD_1983_HARN_Adj_MN_Lake_of_the_Woods_North,
,D_NAD_1983_HARN_Adj_MN_Lake_of_the_Woods_South,
,D_NAD_1983_HARN_Adj_MN_Le_Sueur,
,D_NAD_1983_HARN_Adj_MN_Lincoln,
,D_NAD_1983_HARN_Adj_MN_Lyon,
,D_NAD_1983_HARN_Adj_MN_Mahnomen,
,D_NAD_1983_HARN_Adj_MN_Marshall,
,D_NAD_1983_HARN_Adj_MN_Martin,
,D_NAD_1983_HARN_Adj_MN_McLeod,
,D_NAD_1983_HARN_Adj_MN_Meeker,
,D_NAD_1983_HARN_Adj_MN_Morrison,
,D_NAD_1983_HARN_Adj_MN_Mower,
,D_NAD_1983_HARN_Adj_MN_Murray,
,D_NAD_1983_HARN_Adj_MN_Nicollet,
,D_NAD_1983_HARN_Adj_MN_Nobles,
,D_NAD_1983_HARN_Adj_MN_Norman,
,D_NAD_1983_HARN_Adj_MN_Olmsted,
,D_NAD_1983_HARN_Adj_MN_Ottertail,
,D_NAD_1983_HARN_Adj_MN_Pennington,
,D_NAD_1983_HARN_Adj_MN_Pine,
,D_NAD_1983_HARN_Adj_MN_Pipestone,
,D_NAD_1983_HARN_Adj_MN_Polk,
,D_NAD_1983_HARN_Adj_MN_Pope,
,D_NAD_1983_HARN_Adj_MN_Ramsey,
,D_NAD_1983_HARN_Adj_MN_Red_Lake,
,D_NAD_1983_HARN_Adj_MN_Redwood,
,D_NAD_1983_HARN_Adj_MN_Renville,
,D_NAD_1983_HARN_Adj_MN_Rice,
,D_NAD_1983_HARN_Adj_MN_Rock,
,D_NAD_1983_HARN_Adj_MN_Roseau,
,D_NAD_1983_HARN_Adj_MN_Scott,
,D_NAD_1983_HARN_Adj_MN_Sherburne,
,D_NAD_1983_HARN_Adj_MN_Sibley,
,D_NAD_1983_HARN_Adj_MN_Stearns,
,D_NAD_1983_HARN_Adj_MN_Steele,
,D_NAD_1983_HARN_Adj_MN_Stevens,
,D_NAD_1983_HARN_Adj_MN_St_Louis_Central,
,D_NAD_1983_HARN_Adj_MN_St_Louis_North,
,D_NAD_1983_HARN_Adj_MN_St_Louis_South,
,D_NAD_1983_HARN_Adj_MN_Swift,
,D_NAD_1983_HARN_Adj_MN_Todd,
,D_NAD_1983_HARN_Adj_MN_Traverse,
,D_NAD_1983_HARN_Adj_MN_Wabasha,
,D_NAD_1983_HARN_Adj_MN_Wadena,
,D_NAD_1983_HARN_Adj_MN_Waseca,
,D_NAD_1983_HARN_Adj_MN_Watonwan,
,D_NAD_1983_HARN_Adj_MN_Winona,
,D_NAD_1983_HARN_Adj_MN_Wright,
,D_NAD_1983_HARN_Adj_MN_Yellow_Medicine,
,D_NAD_1983_HARN_Adj_WI_AD_JN,
,D_NAD_1983_HARN_Adj_WI_AL,
,D_NAD_1983_HARN_Adj_WI_BA,
,D_NAD_1983_HARN_Adj_WI_BF,
,D_NAD_1983_HARN_Adj_WI_BN,
,D_NAD_1983_HARN_Adj_WI_BR,
,D_NAD_1983_HARN_Adj_WI_BU,
,D_NAD_1983_HARN_Adj_WI_CK,
,D_NAD_1983_HARN_Adj_WI_CL_FL_OG_WN,
,D_NAD_1983_HARN_Adj_WI_CO,
,D_NAD_1983_HARN_Adj_WI_CP,
,D_NAD_1983_HARN_Adj_WI_CR,
,D_NAD_1983_HARN_Adj_WI_DD_JF,
,D_NAD_1983_HARN_Adj_WI_DG,
,D_NAD_1983_HARN_Adj_WI_DN,
,D_NAD_1983_HARN_Adj_WI_DR,
,D_NAD_1983_HARN_Adj_WI_DU,
,D_NAD_1983_HARN_Adj_WI_EC,
,D_NAD_1983_HARN_Adj_WI_FN,
,D_NAD_1983_HARN_Adj_WI_FR,
,D_NAD_1983_HARN_Adj_WI_GL_MQ,
,D_NAD_1983_HARN_Adj_WI_GR_LF,
,D_NAD_1983_HARN_Adj_WI_GT,
,D_NAD_1983_HARN_Adj_WI_IA,
,D_NAD_1983_HARN_Adj_WI_IR,
,D_NAD_1983_HARN_Adj_WI_JA,
,D_NAD_1983_HARN_Adj_WI_KN_MW_OZ_RA,
,D_NAD_1983_HARN_Adj_WI_KW_MT_SG,
,D_NAD_1983_HARN_Adj_WI_LC,
,D_NAD_1983_HARN_Adj_WI_LG,
,D_NAD_1983_HARN_Adj_WI_LN,
,D_NAD_1983_HARN_Adj_WI_MA,
,D_NAD_1983_HARN_Adj_WI_ME,
